loan_id,origination_date,state,region,employment_status,income,credit_score,debt_to_income,loan_purpose,loan_type,loan_term,property_value,loan_to_value,loan_amount,interest_rate,loan_status,default_risk,approval_flag,loan_size_band,income_band,origination_year,origination_month
1077,2024-08-31,CA,West,Full-Time,62328,664,22.51,Purchase,VA,30,566897,85.68,485717,6.57,Approved,Medium,1,Large,Middle,2024,8
1078,2024-09-29,IL,Midwest,Full-Time,38135,723,54.68,Purchase,Conventional,30,450658,69.27,312171,6.27,Pending,Medium,0,Large,Low,2024,9
1079,2024-10-13,CA,West,Full-Time,117964,675,31.34,Purchase,FHA,30,704540,90.25,635847,7.08,Approved,Medium,1,"Very Large",High,2024,10
1080,2024-02-26,IL,Midwest,Full-Time,78906,693,37.06,Purchase,FHA,15,430758,95.88,413011,6.69,Pending,Medium,0,Large,Middle,2024,2
1081,2024-06-16,NY,Northeast,Full-Time,83022,608,18.9,Refinance,Conventional,30,732189,84.02,615185,7.74,Denied,Medium,0,"Very Large",Middle,2024,6
1082,2024-05-05,CA,West,Full-Time,106726,799,38.86,Refinance,VA,15,781721,91.64,716369,5.91,Pending,Medium,0,"Very Large",High,2024,5
1083,2024-10-22,TX,South,Self-Employed,95802,665,35.06,Purchase,Conventional,30,419000,78.73,329879,6.86,Approved,Medium,1,Large,Middle,2024,10
1084,2024-10-14,NY,Northeast,Full-Time,67275,706,29.89,Purchase,Conventional,15,591735,82.45,487886,5.84,Approved,Medium,1,Large,Middle,2024,10
1085,2024-10-07,TX,South,Full-Time,57139,761,27.28,Purchase,Conventional,15,547220,83,454193,5.71,Approved,Low,1,Large,Middle,2024,10
1086,2025-02-06,FL,South,Self-Employed,83165,754,33.69,Purchase,Conventional,30,631049,71.37,450380,5.81,Approved,Low,1,Large,Middle,2025,2
1087,2024-11-03,CA,West,Full-Time,49681,726,52.96,Refinance,Conventional,30,454040,85.17,386706,6.12,Denied,Medium,0,Large,Low,2024,11
1088,2025-03-22,TX,South,Full-Time,63577,595,53.72,Purchase,VA,30,324665,95.13,308854,7.93,Denied,High,0,Large,Middle,2025,3
1089,2024-03-06,TX,South,Full-Time,64638,707,27.63,Purchase,Conventional,30,521685,68.13,355424,6.34,Approved,Low,1,Large,Middle,2024,3
1090,2024-09-05,WA,West,Full-Time,247937,733,30.27,Purchase,Conventional,30,788414,87.56,690335,6.36,Approved,Low,1,"Very Large",High,2024,9
1091,2024-08-05,OH,Midwest,Full-Time,114722,661,30.21,Refinance,FHA,30,285494,95.51,272675,6.95,Approved,Medium,1,Medium,High,2024,8
1092,2025-05-23,IL,Midwest,Part-Time,84532,791,20.26,Purchase,FHA,15,473259,91.33,432227,5.81,Approved,Medium,1,Large,Middle,2025,5
1093,2024-01-24,TX,South,Full-Time,174558,618,42.67,Purchase,Conventional,15,313136,79.36,248505,7.57,Pending,Medium,0,Medium,High,2024,1
1094,2024-12-20,CA,West,Full-Time,55213,733,46.21,Purchase,Conventional,30,804417,71.74,577089,5.96,Pending,Medium,0,Large,Middle,2024,12
1095,2024-11-15,AZ,West,Full-Time,48691,726,53.77,Purchase,Conventional,30,545136,87.76,478411,6.53,Denied,Medium,0,Large,Low,2024,11
1096,2025-02-01,TX,South,Self-Employed,41032,783,20.07,Refinance,FHA,15,463180,96.44,446691,5.87,Pending,Medium,0,Large,Low,2025,2
1097,2024-04-13,TX,South,Full-Time,83423,719,32.65,Refinance,Conventional,30,398978,75.78,302346,6.23,Approved,Low,1,Large,Middle,2024,4
1098,2024-03-02,FL,South,Full-Time,40367,662,35.3,Refinance,FHA,30,298434,90.83,271068,6.84,Pending,Medium,0,Medium,Low,2024,3
1099,2024-12-09,AZ,West,Full-Time,44239,753,49.04,Purchase,Conventional,15,517819,80.36,416119,5.25,Pending,Medium,0,Large,Low,2024,12
1100,2024-12-12,FL,South,Self-Employed,42404,763,39.23,Refinance,VA,15,299557,83.74,250849,5.58,Approved,Medium,1,Medium,Low,2024,12
1101,2024-07-01,OH,Midwest,Full-Time,61001,675,33.95,Refinance,FHA,30,264805,94.47,250161,7.15,Approved,Medium,1,Medium,Middle,2024,7
1102,2024-12-22,OH,Midwest,Full-Time,98371,663,40.87,Refinance,Conventional,30,256362,87.14,223394,7,Approved,High,1,Medium,Middle,2024,12
1103,2024-03-11,FL,South,Full-Time,54181,683,40.78,Refinance,Conventional,30,333056,87.29,290725,6.88,Approved,Medium,1,Medium,Middle,2024,3
1104,2025-03-18,CA,West,Full-Time,99760,755,20.14,Purchase,Conventional,30,949028,78.95,749258,5.35,Approved,Low,1,"Very Large",Middle,2025,3
1105,2024-05-01,TX,South,Full-Time,81412,684,31.25,Purchase,VA,15,314836,94.2,296576,6.81,Approved,Medium,1,Medium,Middle,2024,5
1106,2024-03-07,IL,Midwest,Part-Time,56056,705,33.74,Refinance,Conventional,30,359059,69.09,248074,6.02,Approved,Low,1,Medium,Middle,2024,3
1107,2024-06-19,CA,West,Full-Time,145819,625,50.61,Purchase,FHA,15,703794,92.03,647702,7.09,Denied,High,0,"Very Large",High,2024,6
1108,2025-03-06,AZ,West,Part-Time,51893,672,31.47,Purchase,FHA,30,500151,94.84,474343,7.02,Pending,Medium,0,Large,Middle,2025,3
1109,2024-10-05,AZ,West,Full-Time,103066,775,29.21,Purchase,FHA,30,536261,93.4,500868,5.8,Approved,Medium,1,Large,High,2024,10
1110,2025-01-15,OH,Midwest,Full-Time,196774,684,21.15,Purchase,Conventional,30,324715,74.83,242984,6.87,Approved,Low,1,Medium,High,2025,1
1111,2025-03-13,PA,Northeast,Full-Time,48894,608,18.93,Purchase,Conventional,15,295641,81.17,239972,7.27,Pending,Medium,0,Medium,Low,2025,3
1112,2024-06-04,OH,Midwest,Full-Time,164355,672,39.27,Refinance,Conventional,30,202477,73.84,149509,6.54,Approved,Medium,1,Medium,High,2024,6
1113,2025-01-19,FL,South,Self-Employed,127376,594,41.85,Purchase,FHA,30,616478,96.05,592127,8.16,Denied,High,0,Large,High,2025,1
1114,2024-11-23,WA,West,Full-Time,60419,671,35.44,Purchase,Conventional,30,645745,80.49,519760,6.55,Pending,Medium,0,Large,Middle,2024,11
1115,2024-03-11,CA,West,Full-Time,59912,726,21.43,Purchase,Conventional,30,612143,71.8,439519,6.32,Approved,Low,1,Large,Middle,2024,3
1116,2025-04-05,AZ,West,Self-Employed,107224,682,31.57,Refinance,Conventional,30,496192,81.52,404496,6.53,Approved,Medium,1,Large,High,2025,4
1117,2025-04-12,CA,West,Full-Time,42102,649,26.09,Refinance,Conventional,30,457952,80.04,366545,7.14,Pending,Medium,0,Large,Low,2025,4
1118,2024-05-13,TX,South,Full-Time,80550,731,18.36,Purchase,FHA,15,376354,94.58,355956,6.15,Approved,Medium,1,Large,Middle,2024,5
1119,2025-01-25,IL,Midwest,Full-Time,69894,732,50.19,Refinance,Conventional,30,365090,81.8,298644,6.34,Pending,Medium,0,Medium,Middle,2025,1
1120,2024-12-01,PA,Northeast,Self-Employed,81763,695,29.88,Purchase,Conventional,30,457775,68.19,312157,6.78,Approved,Low,1,Large,Middle,2024,12
1121,2025-04-11,NY,Northeast,Part-Time,176145,725,40.95,Refinance,FHA,30,540081,95.11,513671,6.47,Approved,Medium,1,Large,High,2025,4
1122,2024-10-28,OH,Midwest,Part-Time,100225,644,41.51,Purchase,FHA,30,228544,96.06,219539,7.67,Pending,High,0,Medium,High,2024,10
1123,2024-04-09,IL,Midwest,Self-Employed,71357,696,24.17,Refinance,FHA,30,333928,90.03,300635,6.82,Approved,Medium,1,Large,Middle,2024,4
1124,2024-03-06,AZ,West,Part-Time,51403,702,40.66,Refinance,Conventional,15,442904,71.25,315569,5.8,Approved,Medium,1,Large,Middle,2024,3
1125,2024-07-27,GA,South,Full-Time,117155,580,31.27,Refinance,FHA,30,394008,92.11,362921,7.84,Pending,High,0,Large,High,2024,7
1126,2024-03-12,NY,Northeast,Full-Time,92849,754,30.24,Purchase,VA,30,714858,96.61,690624,5.77,Pending,Medium,0,"Very Large",Middle,2024,3
1127,2024-11-21,CA,West,Full-Time,47852,623,37.47,Purchase,FHA,15,697039,92.44,644343,7.09,Denied,High,0,"Very Large",Low,2024,11
1128,2024-10-26,FL,South,Full-Time,62927,697,41.43,Refinance,Conventional,30,465491,76.72,357125,6.45,Approved,Medium,1,Large,Middle,2024,10
1129,2025-02-06,AZ,West,Full-Time,108047,693,35.24,Purchase,FHA,30,597465,90.71,541961,6.89,Approved,Medium,1,Large,High,2025,2
1130,2024-09-24,CA,West,Full-Time,86245,654,37.88,Refinance,Conventional,30,844636,72.07,608729,7.11,Pending,Medium,0,"Very Large",Middle,2024,9
1131,2024-03-29,WA,West,Self-Employed,242243,671,20.33,Refinance,FHA,30,427777,91.75,392485,7.15,Approved,Medium,1,Large,High,2024,3
1132,2024-07-15,FL,South,Full-Time,133210,658,34.25,Purchase,Conventional,15,318063,73.92,235112,7.1,Approved,Medium,1,Medium,High,2024,7
1133,2024-08-20,FL,South,Full-Time,176425,687,42.28,Purchase,Conventional,30,582158,72.12,419852,6.65,Approved,Medium,1,Large,High,2024,8
1134,2025-04-16,IL,Midwest,Full-Time,87866,603,40.55,Refinance,Conventional,15,480071,71.24,342003,7.25,Pending,Medium,0,Large,Middle,2025,4
1135,2025-02-01,OH,Midwest,Full-Time,53678,674,30.84,Purchase,VA,30,399079,87.06,347438,6.95,Approved,Medium,1,Large,Middle,2025,2
1136,2024-04-16,TX,South,Self-Employed,56787,773,37.3,Refinance,VA,30,471126,83.11,391553,5.86,Approved,Low,1,Large,Middle,2024,4
1137,2025-05-07,CA,West,Self-Employed,113155,708,38.54,Refinance,FHA,30,619572,94.57,585929,6.48,Approved,High,1,Large,High,2025,5
1138,2024-10-09,FL,South,Full-Time,84184,784,20.54,Purchase,Conventional,15,553136,79,436977,5.59,Approved,Low,1,Large,Middle,2024,10
1139,2024-06-18,NY,Northeast,Full-Time,61526,660,37.08,Refinance,VA,30,790892,90.72,717497,6.85,Pending,High,0,"Very Large",Middle,2024,6
1140,2024-01-30,TX,South,Full-Time,56381,735,39.47,Refinance,Conventional,15,324927,86.95,282524,5.99,Approved,Medium,1,Medium,Middle,2024,1
1141,2024-04-16,IL,Midwest,Full-Time,128968,716,41.4,Refinance,FHA,30,344413,94.79,326469,6.69,Approved,High,1,Large,High,2024,4
1142,2025-02-13,TX,South,Full-Time,69933,694,29.08,Refinance,FHA,30,256212,95.63,245016,7.19,Approved,Medium,1,Medium,Middle,2025,2
1143,2024-10-23,CA,West,Self-Employed,104907,633,52.48,Purchase,FHA,30,851771,93.6,797258,7.67,Denied,High,0,"Very Large",High,2024,10
1144,2024-12-10,GA,South,Self-Employed,41843,771,38.33,Refinance,FHA,30,249897,94.91,237177,5.92,Approved,Medium,1,Medium,Low,2024,12
1145,2024-07-05,IL,Midwest,Full-Time,84014,738,35.88,Purchase,FHA,30,425365,95.96,408180,6.54,Approved,Medium,1,Large,Middle,2024,7
1146,2024-04-07,CA,West,Full-Time,100410,672,18.46,Purchase,Conventional,30,532839,68.46,364782,6.84,Approved,Medium,1,Large,High,2024,4
1147,2024-05-13,TX,South,Full-Time,82190,704,54.35,Refinance,Conventional,30,501340,81.96,410898,6.3,Pending,Medium,0,Large,Middle,2024,5
1148,2024-04-25,NY,Northeast,Part-Time,83400,792,32.14,Purchase,Conventional,30,602718,81.93,493807,5.79,Approved,Low,1,Large,Middle,2024,4
1149,2025-01-28,CA,West,Self-Employed,61085,692,42.78,Refinance,Conventional,30,572637,72.89,417395,6.49,Pending,Medium,0,Large,Middle,2025,1
1150,2025-05-30,TX,South,Part-Time,85284,667,39.73,Purchase,Conventional,15,337448,70.62,238306,6.69,Approved,Medium,1,Medium,Middle,2025,5
1151,2024-10-18,GA,South,Self-Employed,67485,588,40.26,Purchase,FHA,30,346493,90.13,312294,7.68,Denied,High,0,Large,Middle,2024,10
1152,2024-08-12,CA,West,Full-Time,113279,635,30.05,Purchase,Conventional,30,722645,80.26,579995,7.09,Approved,Medium,1,Large,High,2024,8
1153,2024-05-16,TX,South,Part-Time,54704,737,37.83,Purchase,Conventional,30,290261,69.05,200425,6.22,Approved,Low,1,Medium,Middle,2024,5
1154,2024-06-18,AZ,West,Full-Time,78690,726,42.5,Purchase,Conventional,30,488241,85.18,415884,6.26,Approved,Medium,1,Large,Middle,2024,6
1155,2024-06-11,PA,Northeast,Self-Employed,39751,672,45.7,Purchase,VA,15,421513,93.11,392471,6.92,Denied,High,0,Large,Low,2024,6
1156,2024-04-11,AZ,West,Full-Time,229488,639,37.88,Purchase,VA,30,410857,86.68,356131,7.32,Approved,High,1,Large,High,2024,4
1157,2024-11-15,FL,South,Full-Time,110958,616,37.3,Refinance,FHA,30,467687,90.54,423444,8.02,Pending,High,0,Large,High,2024,11
1158,2025-06-15,CA,West,Full-Time,84673,634,42.05,Purchase,FHA,15,709632,91.38,648462,7.46,Denied,High,0,"Very Large",Middle,2025,6
1159,2025-02-14,CA,West,Full-Time,60121,762,27.89,Refinance,VA,30,514116,91.1,468360,5.65,Approved,Medium,1,Large,Middle,2025,2
1160,2025-05-31,WA,West,Full-Time,117230,665,27.58,Refinance,Conventional,15,591864,83.1,491839,6.45,Approved,Medium,1,Large,High,2025,5
1161,2025-02-16,TX,South,Full-Time,67627,600,35.42,Purchase,Conventional,15,390380,75.98,296611,7.52,Pending,Medium,0,Medium,Middle,2025,2
1162,2024-11-10,CA,West,Full-Time,58380,656,34.6,Purchase,Conventional,15,732130,75.99,556346,6.87,Pending,Medium,0,Large,Middle,2024,11
1163,2024-01-15,PA,Northeast,Part-Time,105014,728,26.42,Refinance,Conventional,30,493806,80.53,397662,6.36,Approved,Low,1,Large,High,2024,1
1164,2024-02-17,GA,South,Full-Time,54224,603,18.7,Purchase,VA,15,314206,83.55,262519,7.75,Pending,Medium,0,Medium,Middle,2024,2
1165,2024-10-08,NY,Northeast,Full-Time,98395,704,51.48,Refinance,VA,30,681543,83.61,569838,6.46,Pending,Medium,0,Large,Middle,2024,10
1166,2024-08-12,FL,South,Full-Time,51039,608,32,Purchase,FHA,30,540373,91.05,492010,8.05,Denied,High,0,Large,Middle,2024,8
1167,2025-01-26,CA,West,Part-Time,81330,705,38.55,Refinance,Conventional,30,603074,81.39,490842,6.04,Approved,Medium,1,Large,Middle,2025,1
1168,2024-11-09,AZ,West,Full-Time,159625,590,49.65,Refinance,VA,30,409900,86.21,353375,7.51,Denied,High,0,Large,High,2024,11
1169,2024-11-13,PA,Northeast,Full-Time,104043,684,37.12,Purchase,Conventional,30,321551,81.47,261968,6.93,Approved,Medium,1,Medium,High,2024,11
1170,2024-01-29,OH,Midwest,Part-Time,83688,649,22.74,Refinance,VA,15,183999,88.43,162710,7.29,Approved,Medium,1,Medium,Middle,2024,1
1171,2024-04-02,IL,Midwest,Full-Time,48436,675,31.11,Purchase,FHA,30,276013,90.29,249212,6.7,Approved,Medium,1,Medium,Low,2024,4
1172,2024-08-22,AZ,West,Full-Time,92152,590,31.72,Purchase,FHA,30,311017,96.03,298670,8,Denied,High,0,Medium,Middle,2024,8
1173,2024-08-25,TX,South,Full-Time,53263,734,41.65,Purchase,FHA,30,446943,93.01,415702,6.54,Pending,Medium,0,Large,Middle,2024,8
1174,2025-04-06,CA,West,Full-Time,83541,666,41.18,Purchase,VA,30,473576,92.21,436684,6.71,Approved,High,1,Large,Middle,2025,4
1175,2024-08-15,NY,Northeast,Self-Employed,78460,636,37.56,Refinance,VA,30,646359,83.62,540485,7.38,Pending,Medium,0,Large,Middle,2024,8
1176,2024-06-22,TX,South,Full-Time,59851,726,39.47,Purchase,Conventional,30,450430,79.01,355885,6.39,Approved,Low,1,Large,Middle,2024,6
1177,2024-03-02,FL,South,Full-Time,84890,798,29.88,Purchase,VA,30,415534,86.28,358523,5.68,Approved,Low,1,Large,Middle,2024,3
